Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Effect of travel and rest on performance of professional basketball players.","Steenland, Kyle; Deddens, James A.","Sleep: Journal of Sleep Research & Sleep Medicine",="01618105",,="19970501","20","5","366","4","1997-05746-006",,"American Academy of Sleep Medicine","Journal Article","Athletic Performance; Basketball; Human Biological Rhythms; Traveling; Work Rest Cycles; Athletes; Longitudinal Studies; Adulthood (18 yrs & older); Male",,"Studied 8,495 regular season games in the National Basketball Association over 8 seasons (1987–88 through 1994–95) to analyze the effects of travel and rest on athletic performance. It was found that more time between games improved performance, an effect that was constant over time and statistically significant. More than 1 day between games increased the home team's score by 1.1 points and the visitor's by 1.6 points. Peak performance occurred with 3 days between games. The negative effects of little time between games may be due to lack of time for physical recovery, rather than any effects of circadian rhythm (jet lag). Findings suggest circadian rhythm effects in a subanalysis of games on either coast in which the visitor traveled across the country, while the home team did not travel. In these games, the visiting team did 4 points better when they traveled west to east rather than east to west, almost nullifying the home-court advantage. This effect, like similar findings for Monday Night Football games, may be due to West Coast visitors playing night games at an earlier time according to their 'internal clock.' (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1997-05746-006&site=ehost-live"
"Effects of crowd size on referee decisions: Analysis of the FA Cup.","Downward, Paul; Jones, Marc","Journal of Sports Sciences",="02640414",,="20071201","25","14","1541","5","2007-18588-001","10.1080/02640410701275193","Taylor & Francis","Journal Article","Crowding; Decision Making; Soccer; Sports Spectators; Adulthood (18 yrs & older)",,"Data were collected on the number of first yellow cards awarded during 857 games, over six seasons (1996-2002), played in the Football Association (FA) Cup. Overall, a significantly higher number of yellow cards were awarded against the away team, while a non-linear relationship between crowd size and yellow cards was observed. In general, the probability of a yellow card being awarded against the home team decreased as crowd size increased, but was attenuated for the largest crowd sizes. Crowd size may be related to the probability of the home team receiving a yellow card in two potential ways. Crowd noise may be a decision-making heuristic whereby the likelihood that an incident is a foul is increased when accompanied by crowd noise. Alternatively, referees may seek to appease the crowd and are more likely to do so as crowd size increases. The present findings have implications for the training of match officials and for coaches and players as they prepare to play away from home. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-18588-001&site=ehost-live"
"El efecto de marcar primero y la ventaja de jugar en casa en la liga de fútbol y en la liga de fútbol sala de España.","Molinuevo, Javier Sampedro; Bermejo, Jaime Prieto","Revista de Psicología del Deporte",="1132239X",,="20120101","21","2","301","8","2012-25275-010",,"Universidad de les Illes Balears","Journal Article","Athletic Performance; Games; Soccer; Teams",,"The aim of this research was to study the effect of scoring first and its relationship with home advantage in professional Spanish football and indoor soccer leagues, in order to analyse the effect of scoring first on game outcome in relation to home advantage, whether home or away team scores first. Each league was first studied individually, and then results were compared between them. For this purpose, two new metrics were introduced: 'home advantage in scoring the first goal' and 'scoring first advantage'. Results showed a significantly lower advantage for local teams to score the first goal than home advantage in both football and indoor soccer leagues. Likewise, advantage in game outcome after scoring the first goal is found in the two leagues, both for local and away teams, with significant differences in favour of teams playing at home and higher values in football than in indoor soccer league. Distinct football and indoor soccer rules and game features must be considered to explain the observed differences. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-25275-010&site=ehost-live"
"English soccer teams' aggressive behavior when playing away from home.","Thomas, Sion; Reeves, Colin; Smith, Andrew","Perceptual and Motor Skills",="00315125",,="20060401","102","2","317","4","2006-23108-004","10.2466/PMS.102.2.317-320","Perceptual & Motor Skills","Journal Article","Aggressive Behavior; Athletes; Soccer; Teams",,"Speculation about key factors affecting home advantage still exists. The present study investigated aggressive behavior amongst English Football Premiership (soccer) players and its relation to home advantage. The frequency of aggressive behaviour, identified by the award of a penalty or disciplinary card (yellow for caution or red for dismissal) was analysed over 2000-2003. Chi-square analyses assessed whether a greater frequency of aggressive behavior was performed by teams away from home. In decided matches, teams playing away received significantly more cautions (yellow cards) than home teams. A further analysis of tied matches indicated that away teams received significantly more cautions (yellow cards) than home teams. No significant differences between home and away teams were found for dismissals and penalties awarded. Reasons for these findings are considered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-23108-004&site=ehost-live"
"Estados de ánimo y rendimiento deportivo en fútbol: Existe la ventaja de jugar en casa?","Pérez, Alvaro Sánchez; López, Edurne González; de Oña, María Ruiz; Arrasate, Marisa San Juan; Yarza, José Abando; y Martínez, Luis de Nicolás; Domínguez, Fidel García","Revista de Psicología del Deporte",="1132239X",,="20010101","10","2","197","13","2002-10989-003",,"Universidad de les Illes Balears","Journal Article","Athletes; Athletic Performance; Emotional States; Soccer; Teams; Adulthood (18 yrs & older); Male",,"Examined how the emotional states of 20 players, previous to competition, relate to competition performance, in a soccer team during a season. Also, the possible mediating role of game location was assessed. Results seem to confirm that game location mediates the relationship between emotional states and performance, with home matches having the more positive emotional states and performance. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-10989-003&site=ehost-live"
"Evolutionary perspectives on sport and competition.","Wiedemann, Diana; Barton, Robert A.; Hill, Russell A.","Applied evolutionary psychology.",,="9780199586073",="20120101",,,"290","18","2012-08925-018",,"Oxford University Press","Chapter","Competition; Evolutionary Psychology; Sports; Theory of Evolution; Handedness; Testosterone",,"Sports are ubiquitous in human cultures and are valued as a form of physical competition (Chick and Loy 2001; Llaurens et al. 2009a). At the same time, watching sport is a pastime that captivates viewers across the world, with major sporting events such as the FIFA World Cup or Olympic Games attracting audiences of hundreds of millions, both as live spectators, and as television, Internet, and radio viewers or listeners. The worldwide appeal of sports such as football has led economists and psychologists to devote an increasing body of research to this global phenomenon (Kocher and Sutter 2010). Recently, there has also been a dramatic increase in research examining sport from an evolutionary perspective. This chapter describes research into evolutionary aspects of human behavior in sports, illustrating how evolutionary insights have been applied and have enriched our understanding of human sports and competition, and points to promising ideas for further study. We focus on four issues that have received recent attention. First, we describe the relationship between testosterone levels and sporting outcomes and how they play an important role in the phenomenon of home advantage. Second, we explore the issue of home advantage and its psychological and hormonal mediators in more detail. Third, we elucidate possible explanations for why left-handedness may be advantageous in physical combats in westernized but also traditional societies. Finally, we describe and assess influences of color on human and animal agonistic behavior. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-08925-018&site=ehost-live"
"Facility Familiarity and the Home Advantage in Professional Sports.","Loughead, Todd M.; Carron, Albert V.; Bray, Steven R.; Kim, Arvin J.","International Journal of Sport and Exercise Psychology",="1612197X",,="20030901","1","3","264","11","2004-12504-003","10.1080/1612197X.2003.9671718","Fitness Information Technology","Journal Article","Athletic Performance; Familiarity; Sports",,"The purpose of the present study was to examine the influence of facility familiarity on the home advantage. In order to test for facility familiarity, archival data from professional basketball, hockey, and soccer games (n = 1,590) was classified into three blocks. The first block was games immediately prior to the relocation to a new venue; the second block was games immediately after relocating to the new venue; and, the third block was games following a period of relocation. Overall, the results provide little support for facility familiarity as an explanation of the home advantage. However, there was evidence of facility familiarity as an explanation of the home advantage when team quality is introduced as a possible moderator. Specifically, high quality teams suffered after a move from their familiar venue, whereas low quality teams seemed to benefit. Implications for the home advantage are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-12504-003&site=ehost-live"
"Football supporters' perceptions of their role in the home advantage.","Wolfson, Sandy; Wakelin, Delia; Lewis, Matthew","Journal of Sports Sciences",="02640414",,="20050401","23","4","365","10","2005-04760-002","10.1080/02640410400021567","Taylor & Francis","Journal Article","Athletic Performance; Internet; Soccer; Sports Spectators; Adulthood (18 yrs & older); Male; Female",,"Football fans' views on their role in the home advantage were obtained by placing links to an internet questionnaire on supporters' websites. Altogether, 461 fans from clubs which had been promoted, relegated or unchanged in the past season of the English football leagues rated crowd support as significantly more influential than familiarity, travel, territoriality and referee bias in contributing to the home advantage. Fans felt responsible for inspiring their team to victory, took credit for distracting opponents, and believed that they could influence officials into making decisions in their team's favour. However, they did not accept personal blame for poor results. No effects for gender, age or the team's outcome in the promotion/relegation battle emerged, though season ticket holders were more extreme in their feelings of responsibility overall. Furthermore, it was suggested that mechanisms such as the perception of being superior to rivals can encourage fans to retain their allegiance to their teams, even when outcomes are disappointing. Indeed, affiliation may become so incorporated into self-identity that supporters may not have the option of abandoning their team, but instead perceive a reciprocal relationship in which both they and the team are expected to do their best to achieve success. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-04760-002&site=ehost-live"
"Fußball verstehen--Beiträge der Sozialpsychologie: Ein Brennpunkt zur Fußballweltmeisterschaft 2006.","Plessner, Henning; Freytag, Peter; Strauß, Bernd","Zeitschrift für Sozialpsychologie",="00443514",,="20060601","37","2","59","13","2006-09708-001","10.1024/0044-3514.37.2.59","Verlag Hans Huber","Journal Article","Soccer; Social Psychology; Sport Psychology; Sports Spectators; Collective Behavior; Violence",,"Once more, the Football World Championship 2006 in Germany will shift public attention to some problems of football that are psychological topics by nature. Among others, these are the supposed advantage of the home team, the error-proneness of referee decisions, and the danger of crowd violence. From an overview of empirical studies on these selected topics, it becomes obvious that especially contributions with a social psychological background allow to draw clear conclusions and provide promising approaches for the solution of these problems. Moreover, it is argued that the world of football presents an ideal field of application for the validation of social psychological theories. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-09708-001&site=ehost-live"
"High-pressure matches do not influence home-field advantage: A 30-year retrospective analysis of English professional football.","Griffin, Murray; Whatling, Adrian; Micklewright, Dominic","Athletic Insight: The Online Journal of Sport Psychology",="15360431",,="20120901","4","3","265","14","2013-16582-006",,"Nova Science Publishers, Inc.","Journal Article","Athletes; Soccer; Sport Psychology; Football; Adulthood (18 yrs & older)",,"This analysis reevaluated the existence of home advantage (HA) within English professional soccer using a point-based calculation that included drawn matches. The analysis also examined whether the magnitude of HA is influenced by the crowd size or the relative importance of the match. Thirty seasons of archival data (1978/79-2007/08) regarding home results, away results and corresponding crowd attendance was gathered for every club in the top four English professional football leagues. HA was calculated as the number of home points gained throughout the season expressed as a percentage of all points gained whether home and away. Therefore a HA value of greater than 50% would indicate a more points gained at home whereas a HA value of less than 50% would indicate more points gained away. HA was confirmed for all four divisions (mean 61.7, s = 0.3%) but there was no difference between the divisions in the magnitude of HA (F3,116 = 0.3, P > 0.05) despite differences in crowd size (F3,87 = 226, P < 0.0001). The magnitude of HA was no different between high-stake large-crowd play-offs matches and corresponding league fixtures (t₂₁ = −0.3, P > 0.05). Home advantage is evident in English professional soccer but the apparently complex underlying causes are not very well understood. The magnitude of HA does not appear to be influenced by crowd size or match importance. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-16582-006&site=ehost-live"
"Home advantage and crowd size in soccer: A worldwide study.","Goumas, Chris","Journal of Sport Behavior",="01627341",,="20131201","36","4","387","13","2013-38938-004",,"University of South Alabama","Journal Article","Athletic Performance; Countries; Soccer; Sports Spectators; Audiences; Facility Environment; Adulthood (18 yrs & older)",,"Home advantage is well documented in a wide range of team sports including association football (soccer). Crowd support appears to play a major role although the mechanisms through which it operates are unclear. Match data from major international club soccer competitions in four confederations of the International Federation of Association Football (FIFA) were used to investigate the role crowd size plays in home advantage and how its effect may vary worldwide. Unadjusted home advantage did not vary significantly between continents. However, controlling for differences in crowd size produced highly significant (p < 0.001) variation, with crowd adjusted home advantage - in terms of the percentage of goals scored by home teams - ranging from 56% in Europe to 67% in North America. For all continents combined, home advantage increased by 1.5% per each 10% increase in crowd size (p < 0.001). The effect of crowd size on home advantage in North America was twice that in other continents (p = 0.03). A logarithmic association appears to best describe the effect of crowd size on home advantage in soccer. Directions for future research into home advantage include investigating the effects of other crowd factors such as density and proximity. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-38938-004&site=ehost-live"
"Home advantage in Australian soccer.","Goumas, Chris","Journal of Science and Medicine in Sport",="14402440",,="20140101","17","1","119","5","2013-44566-024","10.1016/j.jsams.2013.02.014","Elsevier Science","Journal Article","Athletic Performance; Competition; Soccer; Teams",,"Objectives: The aims of this study were to quantify the magnitude of home advantage (HA) in Australian soccer and to investigate how home-team crowd support and away-team travel may contribute to it. Design: A paired design was used wherein each match contributed two observations, one for the home team and one for the away team. Methods: The data used in this study were all matches from the first seven seasons (2005/06–2011/12) of the Australian A-League–the major soccer league in Australia. Repeated measures Poisson regression analysis was used to investigate the effect that crowd size and density, distance and direction travelled by away teams, and crossing time zones may have on HA. Results: HA in terms of the percentage of competition points gained by home teams in the A-League averaged 58% over the study period. HA increased significantly with increasing number of time zones crossed by away teams (p < 0.001). HA also appeared to increase with increasing crowd size (p = 0.07) but only up to about 20,000 persons. Crowd density, distance travelled and direction travelled were not independently associated with HA. Conclusions: The present results suggest that in soccer competitions where time zones are crossed, travel effects such as jet lag may play an even greater role in HA than home-team crowd support. Travel management programs aimed at reducing the effects of jet lag could significantly improve away team performance in Australian soccer. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-44566-024&site=ehost-live"
"Home advantage in Greek football.","Armatas, Vasilis; Pollard, Richard","European Journal of Sport Science",="17461391",,="20140201","14","2","116","7","2014-06657-002","10.1080/17461391.2012.736537","Taylor & Francis","Journal Article","Football; Games; Running; Teams; Territoriality",,"Home advantage as it relates to team performance at football was examined in Superleague Greece using nine seasons of game-by-game performance data, a total of 2160 matches. After adjusting for team ability and annual fluctuations in home advantage, there were significant differences between teams. Previous findings regarding the role of territorial protection were strengthened by the fact that home advantage was above average for the team from Xanthi (P =0.015), while lower for teams from the capital city Athens (P =0.008). There were differences between home and away teams in the incidence of most of the 13 within-game match variables, but associated effect sizes were only moderate. In contrast, outcome ratios derived from these variables, and measuring shot success, had negligible effect sizes. This supported a previous finding that home and away teams differed in the incidence of on-the-ball behaviours, but not in their outcomes. By far the most important predictor of home advantage, as measured by goal difference, was the difference between home and away teams in terms of kicked shots from inside the penalty area. Other types of shots had little effect on the final score. The absence of a running track between spectators and the playing field was also a significant predictor of goal difference, worth an average of 0.102 goals per game to the home team. Travel distance did not affect home advantage. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-06657-002&site=ehost-live"
"Home Advantage in Soccer: Variations in its Magnitude and a Literature Review of the Inter-related Factors Associated with its Existence.","Pollard, Richard","Journal of Sport Behavior",="01627341",,="20060601","29","2","169","21","2006-06511-005",,"University of South Alabama","Journal Article","Athletic Performance; Soccer; Sport Psychology; Familiarity; Territoriality; Traveling",,"Although the existence of home advantage in soccer is well known, the causes of this advantage are unclear. Previous estimates of the magnitude of home advantage are updated. It is higher than in other sports. In England home advantage is very similar for the top four divisions of play. Below this level, the advantage is reduced but still exists even with very small crowds. It has been in existence since the start of league play in 1888, but has recently fallen to its lowest levels. It varies greatly from country to country in Europe and is highest in the Balkans. An assessment is made of the current evidence for the main factors contributing to home advantage; these include crowd support, referee bias, travel, familiarity, territoriality and other psychological effects. It is likely that home advantage results from a complex inter-relationship between all these factors, a model for which is proposed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-06511-005&site=ehost-live"
